"column_name","data_type"
"id","uuid"
"protocolo","character varying"
"identificado","boolean"
"denunciante_nome","character varying"
"denunciante_email","character varying"
"denunciante_telefone","character varying"
"denunciante_relacao","character varying"
"email_notificacao","character varying"
"tipo_relato","character varying"
"tipo_relato_outro","text"
"descricao","text"
"pessoas_envolvidas","text"
"quem_sabe","text"
"possui_evidencias","boolean"
"status","USER-DEFINED"
"prioridade","USER-DEFINED"
"comite_id","uuid"
"responsavel_id","uuid"
"resposta_final","text"
"respondido_em","timestamp without time zone"
"respondido_por","uuid"
"consentimento_lgpd","boolean"
"consentimento_versao","character varying"
"consentimento_ip","inet"
"consentimento_em","timestamp without time zone"
"ip_origem","inet"
"user_agent","text"
"criado_em","timestamp without time zone"
"atualizado_em","timestamp without time zone"
"deletado_em","timestamp without time zone"
